Query,Duration,Results Quality,Timestamp,type
French cuisine traditional dishes,1.6968669891357422,0.224,2025-01-26 17:35:09,"NO anchor BMtitle k=1.5, b = 0.4, text_weight, c500 = 1.9, title_weight =1, anchor_weight = 0,pr_weight = 0.3,pv_weight = 0.6"
Endangered species conservation efforts,1.795835018157959,0.268,2025-01-26 17:35:09,"NO anchor BMtitle k=1.5, b = 0.4, text_weight, c500 = 1.9, title_weight =1, anchor_weight = 0,pr_weight = 0.3,pv_weight = 0.6"
Greek mythology Western culture,1.9095087051391602,0.25,2025-01-26 17:35:09,"NO anchor BMtitle k=1.5, b = 0.4, text_weight, c500 = 1.9, title_weight =1, anchor_weight = 0,pr_weight = 0.3,pv_weight = 0.6"
Cold War proxy conflicts,1.9497148990631104,0.387,2025-01-26 17:35:09,"NO anchor BMtitle k=1.5, b = 0.4, text_weight, c500 = 1.9, title_weight =1, anchor_weight = 0,pr_weight = 0.3,pv_weight = 0.6"
Nelson Mandela apartheid biography,1.4695301055908203,0.231,2025-01-26 17:35:09,"NO anchor BMtitle k=1.5, b = 0.4, text_weight, c500 = 1.9, title_weight =1, anchor_weight = 0,pr_weight = 0.3,pv_weight = 0.6"
Human Genome Project DNA mapping,1.9050381183624268,0.462,2025-01-26 17:39:54,"NO anchor BMtitle k=1.5, b = 0.4, text_weight, c500 = 1.9, title_weight =1.1, anchor_weight = 0,pr_weight = 0.25,pv_weight = 0.6"
Italian pasta varieties and recipes,1.4958910942077637,0.083,2025-01-26 17:39:54,"NO anchor BMtitle k=1.5, b = 0.4, text_weight, c500 = 1.9, title_weight =1.1, anchor_weight = 0,pr_weight = 0.25,pv_weight = 0.6"
Street food around the world,2.321829080581665,0.092,2025-01-26 17:39:54,"NO anchor BMtitle k=1.5, b = 0.4, text_weight, c500 = 1.9, title_weight =1.1, anchor_weight = 0,pr_weight = 0.25,pv_weight = 0.6"
Surrealism art Salvador Dalí,1.8871610164642334,0.357,2025-01-26 17:39:54,"NO anchor BMtitle k=1.5, b = 0.4, text_weight, c500 = 1.9, title_weight =1.1, anchor_weight = 0,pr_weight = 0.25,pv_weight = 0.6"
Mediterranean diet health benefits,1.6543519496917725,0.25,2025-01-26 17:39:54,"NO anchor BMtitle k=1.5, b = 0.4, text_weight, c500 = 1.9, title_weight =1.1, anchor_weight = 0,pr_weight = 0.25,pv_weight = 0.6"
